Regular Timestamp,Timestamp (Number),Distance (cm)
12:27:04.442,44824.443,291.88
12:27:04.479,44824.479,292.15
12:27:04.515,44824.515,293.87
12:27:04.551,44824.551,292.54
12:27:04.587,44824.587,292.01
12:27:04.623,44824.623,292.41
12:27:04.659,44824.66,291.89
12:27:04.695,44824.696,291.79
12:27:04.732,44824.732,292.58
12:27:04.768,44824.768,291.65
12:27:04.804,44824.804,290.66
12:27:04.840,44824.84,291.84
12:27:04.876,44824.876,291.38
12:27:04.913,44824.913,292.13
12:27:04.948,44824.949,290.74
12:27:04.984,44824.985,291.09
12:27:05.020,44825.021,291.04
12:27:05.057,44825.057,290.93
12:27:05.092,44825.093,290.9
12:27:05.129,44825.129,290.35
12:27:05.165,44825.166,305.49
12:27:05.202,44825.202,291.05
12:27:05.237,44825.238,290.56
12:27:05.274,44825.274,290.85
12:27:05.310,44825.31,291.58
12:27:05.346,44825.346,290.2
12:27:05.382,44825.382,289.66
12:27:05.418,44825.418,291.26
12:27:05.454,44825.454,291.14
12:27:05.490,44825.49,289.34
12:27:05.526,44825.526,290.08
12:27:05.562,44825.562,290.35
12:27:05.598,44825.598,288.89
12:27:05.634,44825.634,288.74
12:27:05.670,44825.67,288.55
12:27:05.706,44825.706,290.52
12:27:05.742,44825.742,288.65
12:27:05.778,44825.778,288.09
12:27:05.814,44825.814,288.84
12:27:05.850,44825.85,288.27
12:27:05.885,44825.886,288.22
12:27:05.921,44825.921,287.71
12:27:05.957,44825.957,287.59
12:27:05.993,44825.993,287.14
12:27:06.029,44826.029,287.09
12:27:06.065,44826.065,287.02
12:27:06.100,44826.101,286.58
12:27:06.136,44826.136,286.49
12:27:06.172,44826.172,288.53
12:27:06.208,44826.208,286.75
12:27:06.244,44826.244,286.3
12:27:06.280,44826.28,286.22
12:27:06.316,44826.316,286.2
12:27:06.351,44826.351,287.85
12:27:06.387,44826.388,286.54
12:27:06.423,44826.423,286.08
12:27:06.459,44826.459,286.89
12:27:06.495,44826.495,286.04
12:27:06.531,44826.531,286.39
12:27:06.566,44826.566,285.84
12:27:06.602,44826.602,286.23
12:27:06.638,44826.638,286.63
12:27:06.674,44826.674,287.02
12:27:06.709,44826.71,285.6
12:27:06.745,44826.745,285.6
12:27:06.781,44826.781,286.8
12:27:06.817,44826.817,285.92
12:27:06.852,44826.853,285.39
12:27:06.888,44826.888,285.77
12:27:06.924,44826.924,286.61
12:27:06.960,44826.96,286.18
12:27:06.996,44826.996,287.37
12:27:07.031,44827.031,285.19
12:27:07.067,44827.067,285.51
12:27:07.103,44827.103,285.55
12:27:07.139,44827.139,285.46
12:27:07.174,44827.175,285.77
12:27:07.210,44827.21,284.79
12:27:07.246,44827.246,284.76
12:27:07.282,44827.282,285.46
12:27:07.317,44827.318,285.31
12:27:07.353,44827.353,285.65
12:27:07.389,44827.389,284.26
12:27:07.425,44827.425,285.8
12:27:07.460,44827.46,285.67
12:27:07.496,44827.496,284.79
12:27:07.532,44827.532,283.8
12:27:07.567,44827.567,285.41
12:27:07.603,44827.603,284.55
12:27:07.639,44827.639,284.91
12:27:07.674,44827.674,283.44
12:27:07.710,44827.71,283.87
12:27:07.745,44827.746,284.24
12:27:07.781,44827.781,283.23
12:27:07.817,44827.817,284.43
12:27:07.852,44827.852,283.03
12:27:07.888,44827.888,282.96
12:27:07.924,44827.924,282.89
12:27:07.959,44827.959,282.77
12:27:07.995,44827.995,283.23
12:27:08.030,44828.031,283.97
12:27:08.066,44828.066,282.56
12:27:08.102,44828.102,282.19
12:27:08.137,44828.137,282.98
12:27:08.173,44828.173,282.51
12:27:08.208,44828.209,282.46
12:27:08.244,44828.244,282.51
12:27:08.279,44828.279,281.98
12:27:08.315,44828.315,282.44
12:27:08.351,44828.351,284.07
12:27:08.386,44828.386,281.93
12:27:08.422,44828.422,283.22
12:27:08.457,44828.457,282.31
12:27:08.493,44828.493,282.77
12:27:08.528,44828.528,282.24
12:27:08.564,44828.564,282.27
12:27:08.599,44828.6,282.2
12:27:08.635,44828.635,282.22
12:27:08.670,44828.671,283.03
12:27:08.706,44828.706,282.1
12:27:08.741,44828.742,282.17
12:27:08.777,44828.777,283.39
12:27:08.813,44828.813,281.62
12:27:08.848,44828.848,282.01
12:27:08.884,44828.884,282.05
12:27:08.919,44828.919,282.41
12:27:08.955,44828.955,281.55
12:27:08.990,44828.99,281.91
12:27:09.026,44829.026,282.37
12:27:09.061,44829.061,282.31
12:27:09.097,44829.097,282.32
12:27:09.133,44829.133,281.36
12:27:09.168,44829.168,281.36
12:27:09.204,44829.204,281.76
12:27:09.239,44829.239,282.58
12:27:09.275,44829.275,282.56
12:27:09.310,44829.31,282.48
12:27:09.346,44829.346,283.39
12:27:09.381,44829.382,282.05
12:27:09.417,44829.417,282.92
12:27:09.452,44829.453,281.57
12:27:09.488,44829.488,282.46
12:27:09.524,44829.524,281.95
12:27:09.559,44829.559,282.75
12:27:09.595,44829.595,282.77
12:27:09.630,44829.63,282.7
12:27:09.666,44829.666,281.38
12:27:09.702,44829.702,281.29
12:27:09.737,44829.737,281.33
12:27:09.773,44829.773,281.23
12:27:09.808,44829.808,281.16
12:27:09.844,44829.844,282.79
12:27:09.879,44829.879,282.75
12:27:09.915,44829.915,282.27
12:27:09.950,44829.951,280.83
12:27:09.986,44829.986,281.23
12:27:10.021,44830.021,281.93
12:27:10.057,44830.057,282.72
12:27:10.092,44830.093,280.92
12:27:10.128,44830.128,280.88
12:27:10.164,44830.164,280.28
12:27:10.199,44830.199,280.32
12:27:10.234,44830.234,281.48
12:27:10.270,44830.27,280.99
12:27:10.305,44830.305,279.99
12:27:10.341,44830.341,279.99
12:27:10.377,44830.377,281.21
12:27:10.412,44830.412,279.82
12:27:10.447,44830.447,279.75
12:27:10.483,44830.483,280.01
12:27:10.518,44830.518,279.94
12:27:10.553,44830.553,280.63
12:27:10.589,44830.589,280.16
12:27:10.624,44830.625,279.65
12:27:10.660,44830.66,279.49
12:27:10.696,44830.696,279.41
12:27:10.731,44830.731,279.75
12:27:10.766,44830.766,279.73
12:27:10.801,44830.802,280.49
12:27:10.837,44830.837,278.79
12:27:10.872,44830.872,279.6
12:27:10.907,44830.907,278.64
12:27:10.944,44830.944,278.67
12:27:10.978,44830.978,278.64
12:27:11.013,44831.013,280.25
12:27:11.049,44831.049,279.39
12:27:11.085,44831.085,279.77
12:27:11.120,44831.12,278.36
12:27:11.155,44831.155,278.34
12:27:11.190,44831.191,278.29
12:27:11.225,44831.225,279.01
12:27:11.261,44831.261,279.42
12:27:11.296,44831.297,278.53
12:27:11.331,44831.332,278.0
12:27:11.367,44831.367,278.04
12:27:11.402,44831.402,277.93
12:27:11.438,44831.438,277.85
12:27:11.473,44831.473,279.6
12:27:11.509,44831.509,278.24
12:27:11.544,44831.544,279.37
