Regular Timestamp,Timestamp (Number),Distance (cm)
11:57:39.249,43059.249,225.76
11:57:39.281,43059.281,224.51
11:57:39.314,43059.314,224.51
11:57:39.346,43059.346,224.51
11:57:39.378,43059.378,224.96
11:57:39.410,43059.411,226.23
11:57:39.442,43059.443,224.97
11:57:39.475,43059.475,224.96
11:57:39.507,43059.507,224.51
11:57:39.539,43059.539,226.17
11:57:39.572,43059.572,224.96
11:57:39.603,43059.604,224.94
11:57:39.636,43059.636,225.78
11:57:39.668,43059.668,224.94
11:57:39.700,43059.7,224.1
11:57:39.732,43059.732,225.37
11:57:39.765,43059.765,224.49
11:57:39.797,43059.797,225.8
11:57:39.829,43059.829,224.89
11:57:39.861,43059.861,224.51
11:57:39.894,43059.894,224.48
11:57:39.926,43059.926,224.53
11:57:39.958,43059.958,224.51
11:57:39.990,43059.99,224.51
11:57:40.022,43060.023,224.49
11:57:40.054,43060.055,224.49
11:57:40.087,43060.087,226.24
11:57:40.119,43060.119,224.49
11:57:40.152,43060.152,225.32
11:57:40.184,43060.184,224.08
11:57:40.216,43060.216,225.8
11:57:40.248,43060.248,224.06
11:57:40.280,43060.28,224.49
11:57:40.313,43060.313,224.44
11:57:40.345,43060.345,224.49
11:57:40.377,43060.377,224.48
11:57:40.409,43060.409,224.06
11:57:40.441,43060.442,226.62
11:57:40.474,43060.474,226.16
11:57:40.506,43060.506,224.48
11:57:40.538,43060.539,225.35
11:57:40.570,43060.57,224.94
11:57:40.602,43060.602,224.49
11:57:40.635,43060.635,224.49
11:57:40.667,43060.667,224.46
11:57:40.699,43060.699,224.06
11:57:40.731,43060.731,224.06
11:57:40.763,43060.763,225.35
11:57:40.795,43060.796,225.71
11:57:40.828,43060.828,224.46
11:57:40.860,43060.86,224.08
11:57:40.892,43060.893,224.49
11:57:40.924,43060.925,224.06
11:57:40.956,43060.957,224.08
11:57:40.989,43060.989,225.83
11:57:41.021,43061.021,226.28
11:57:41.053,43061.054,225.42
11:57:41.085,43061.086,225.42
11:57:41.118,43061.118,224.53
11:57:41.150,43061.15,224.12
11:57:41.182,43061.182,224.54
11:57:41.215,43061.215,224.13
11:57:41.247,43061.247,225.76
11:57:41.279,43061.279,224.53
11:57:41.311,43061.311,224.13
11:57:41.343,43061.344,224.99
11:57:41.375,43061.375,224.96
11:57:41.408,43061.408,225.81
11:57:41.440,43061.44,224.56
11:57:41.472,43061.473,224.96
11:57:41.504,43061.504,226.21
11:57:41.537,43061.537,224.42
11:57:41.569,43061.569,224.44
11:57:41.601,43061.601,224.48
11:57:41.633,43061.633,224.92
11:57:41.665,43061.665,224.91
11:57:41.698,43061.698,225.73
11:57:41.730,43061.73,227.05
11:57:41.762,43061.762,224.44
11:57:41.794,43061.794,224.44
11:57:41.827,43061.827,225.68
11:57:41.859,43061.859,226.59
11:57:41.891,43061.891,224.85
11:57:41.923,43061.923,225.69
11:57:41.956,43061.956,224.8
11:57:41.988,43061.988,224.84
11:57:42.020,43062.02,226.07
11:57:42.052,43062.053,225.25
11:57:42.085,43062.085,225.25
11:57:42.117,43062.117,224.36
11:57:42.149,43062.149,225.63
11:57:42.181,43062.181,223.91
11:57:42.213,43062.214,226.09
11:57:42.245,43062.246,224.34
11:57:42.278,43062.278,224.29
11:57:42.310,43062.31,224.29
11:57:42.342,43062.342,224.3
11:57:42.374,43062.374,224.27
11:57:42.407,43062.407,224.22
11:57:42.439,43062.439,224.22
11:57:42.471,43062.471,224.24
11:57:42.503,43062.503,224.15
11:57:42.535,43062.536,224.54
11:57:42.568,43062.568,224.08
11:57:42.600,43062.6,225.32
11:57:42.632,43062.632,223.6
11:57:42.664,43062.664,225.25
11:57:42.696,43062.696,223.96
11:57:42.729,43062.729,223.93
11:57:42.760,43062.761,223.41
11:57:42.793,43062.793,223.4
11:57:42.825,43062.825,223.77
11:57:42.857,43062.857,223.34
11:57:42.889,43062.889,225.45
11:57:42.921,43062.921,224.56
11:57:42.953,43062.953,223.26
11:57:42.985,43062.986,223.67
11:57:43.017,43063.018,224.92
11:57:43.050,43063.05,223.64
11:57:43.082,43063.082,223.17
11:57:43.114,43063.114,224.44
11:57:43.146,43063.147,223.14
11:57:43.178,43063.179,223.55
11:57:43.210,43063.21,223.09
11:57:43.242,43063.243,223.04
11:57:43.275,43063.275,223.41
11:57:43.307,43063.307,222.95
11:57:43.339,43063.34,222.88
11:57:43.372,43063.372,224.58
11:57:43.403,43063.403,222.81
11:57:43.435,43063.436,224.06
11:57:43.467,43063.467,222.78
11:57:43.499,43063.499,222.69
11:57:43.531,43063.531,222.62
11:57:43.563,43063.564,222.61
11:57:43.595,43063.596,222.52
11:57:43.628,43063.628,222.49
11:57:43.660,43063.66,224.12
11:57:43.692,43063.692,223.6
11:57:43.725,43063.725,223.52
11:57:43.756,43063.756,222.11
11:57:43.788,43063.788,222.02
11:57:43.820,43063.82,222.78
11:57:43.852,43063.852,222.23
11:57:43.885,43063.885,223.45
11:57:43.917,43063.917,222.95
11:57:43.949,43063.949,221.66
11:57:43.980,43063.98,222.06
11:57:44.013,43064.013,223.34
11:57:44.045,43064.045,222.08
11:57:44.077,43064.077,222.13
11:57:44.109,43064.109,222.06
11:57:44.141,43064.141,223.28
11:57:44.173,43064.173,222.42
11:57:44.205,43064.205,221.99
11:57:44.237,43064.237,221.96
11:57:44.269,43064.269,221.87
11:57:44.301,43064.301,221.39
11:57:44.333,43064.333,223.52
11:57:44.365,43064.365,223.04
11:57:44.397,43064.397,223.33
11:57:44.429,43064.429,222.08
11:57:44.461,43064.461,221.22
11:57:44.493,43064.493,221.1
11:57:44.525,43064.525,221.46
11:57:44.557,43064.557,221.03
11:57:44.589,43064.589,221.05
11:57:44.621,43064.621,221.48
11:57:44.653,43064.653,221.9
11:57:44.685,43064.685,221.44
11:57:44.717,43064.717,222.74
11:57:44.749,43064.749,221.44
11:57:44.781,43064.781,221.41
11:57:44.813,43064.813,221.82
11:57:44.845,43064.845,221.01
11:57:44.877,43064.877,222.25
11:57:44.909,43064.909,220.89
11:57:44.941,43064.941,222.18
11:57:44.973,43064.973,222.59
11:57:45.005,43065.005,220.81
11:57:45.037,43065.037,222.45
11:57:45.069,43065.069,221.63
11:57:45.101,43065.101,220.75
11:57:45.133,43065.134,222.01
11:57:45.165,43065.165,221.13
11:57:45.197,43065.198,222.44
11:57:45.229,43065.229,221.17
11:57:45.261,43065.261,220.72
11:57:45.293,43065.293,222.01
11:57:45.325,43065.325,220.69
11:57:45.357,43065.357,220.65
11:57:45.389,43065.389,222.33
11:57:45.423,43065.423,220.6
11:57:45.453,43065.454,221.89
11:57:45.485,43065.485,220.98
11:57:45.517,43065.517,220.48
11:57:45.549,43065.549,220.46
11:57:45.581,43065.581,220.39
11:57:45.613,43065.614,221.6
