angular velocity message - w:(0.0, 0.3662109375, 0.0) temp_celsius:22.71
angle message - roll:15.4 pitch:-19.9 yaw:-88.2 version:18128
magnetic message - vec:(-5565, 114, -725) temp_celsius:0.0
quaternion message - q:0.717254638671875 -0.017242431640625 -0.22100830078125 -0.6605224609375
acceleration message - vec:(3.3496093750000004, 2.6222656250000003, 8.84296875) temp_celsius:22.71
angular velocity message - w:(0.0, 0.06103515625, 0.0) temp_celsius:22.71
angle message - roll:15.4 pitch:-19.9 yaw:-88.2 version:18128
magnetic message - vec:(-5565, 114, -724) temp_celsius:0.0
quaternion message - q:0.71722412109375 -0.017364501953125 -0.221160888671875 -0.6605224609375
acceleration message - vec:(3.3496093750000004, 2.6270507812500004, 8.8525390625) temp_celsius:22.71
angular velocity message - w:(0.0, -0.30517578125, 0.0) temp_celsius:22.71
angle message - roll:15.4 pitch:-19.9 yaw:-88.2 version:18128
magnetic message - vec:(-5564, 114, -725) temp_celsius:0.0
quaternion message - q:0.71722412109375 -0.01727294921875 -0.2210693359375 -0.6605224609375
acceleration message - vec:(3.35439453125, 2.6270507812500004, 8.862109375000001) temp_celsius:22.71
angular velocity message - w:(0.0, 0.42724609375, 0.0) temp_celsius:22.71
angle message - roll:15.4 pitch:-19.9 yaw:-88.2 version:18128
magnetic message - vec:(-5565, 115, -724) temp_celsius:0.0
quaternion message - q:0.717254638671875 -0.01727294921875 -0.2210693359375 -0.6605224609375
acceleration message - vec:(3.3496093750000004, 2.6270507812500004, 8.8525390625) temp_celsius:22.71
angular velocity message - w:(0.0, -0.30517578125, 0.0) temp_celsius:22.71
angle message - roll:15.4 pitch:-19.9 yaw:-88.2 version:18128
magnetic message - vec:(-5564, 115, -723) temp_celsius:0.0
quaternion message - q:0.717254638671875 -0.017303466796875 -0.221099853515625 -0.6605224609375
acceleration message - vec:(3.3400390625000003, 2.6318359375, 8.857324218750001) temp_celsius:22.71
angular velocity message - w:(0.0, 0.244140625, 0.0) temp_celsius:22.71
angle message - roll:15.4 pitch:-19.9 yaw:-88.2 version:18128
magnetic message - vec:(-5564, 114, -724) temp_celsius:0.0
quaternion message - q:0.717254638671875 -0.01727294921875 -0.2210693359375 -0.660491943359375
acceleration message - vec:(3.3400390625000003, 2.6222656250000003, 8.8525390625) temp_celsius:22.71
angular velocity message - w:(0.0, 0.06103515625, 0.0) temp_celsius:22.71
angle message - roll:15.4 pitch:-19.9 yaw:-88.2 version:18128
magnetic message - vec:(-5565, 114, -724) temp_celsius:0.0
quaternion message - q:0.717254638671875 -0.017303466796875 -0.22113037109375 -0.660491943359375
acceleration message - vec:(3.35439453125, 2.6318359375, 8.84296875) temp_celsius:22.76
angular velocity message - w:(0.0, -0.54931640625, 0.0) temp_celsius:22.76
angle message - roll:15.4 pitch:-19.9 yaw:-88.2 version:18128
magnetic message - vec:(-5565, 114, -724) temp_celsius:0.0
quaternion message - q:0.717254638671875 -0.017303466796875 -0.22113037109375 -0.660491943359375
acceleration message - vec:(3.33525390625, 2.6222656250000003, 8.86689453125) temp_celsius:22.71
angular velocity message - w:(0.0, 0.79345703125, 0.0) temp_celsius:22.71
angle message - roll:15.4 pitch:-19.9 yaw:-88.2 version:18128
magnetic message - vec:(-5563, 114, -724) temp_celsius:0.0
quaternion message - q:0.71728515625 -0.0172119140625 -0.221038818359375 -0.660491943359375
acceleration message - vec:(3.3591796875, 2.6270507812500004, 8.838183593750001) temp_celsius:22.71
angular velocity message - w:(-0.06103515625, -0.244140625, 0.0) temp_celsius:22.71
angle message - roll:15.4 pitch:-19.9 yaw:-88.2 version:18128
magnetic message - vec:(-5565, 114, -723) temp_celsius:0.0
quaternion message - q:0.71722412109375 -0.01739501953125 -0.22125244140625 -0.66046142578125
acceleration message - vec:(3.3400390625000003, 2.6270507812500004, 8.87646484375) temp_celsius:22.71
angular velocity message - w:(0.0, -0.48828125, 0.0) temp_celsius:22.71
angle message - roll:15.4 pitch:-19.9 yaw:-88.2 version:18128
magnetic message - vec:(-5565, 114, -724) temp_celsius:0.0
quaternion message - q:0.717315673828125 -0.017181396484375 -0.220977783203125 -0.660491943359375
acceleration message - vec:(3.1103515625000004, 0.8661132812500001, 7.862011718750001) temp_celsius:22.71
angular velocity message - w:(-9.33837890625, 2.38037109375, 1.220703125) temp_celsius:22.71
angle message - roll:13.1 pitch:-19.8 yaw:-87.1 version:18128
magnetic message - vec:(-5575, 210, -728) temp_celsius:0.0
quaternion message - q:0.7230224609375 -0.029449462890625 -0.207611083984375 -0.65814208984375
acceleration message - vec:(3.3783203125, 2.0958984375000003, 8.886035156250001) temp_celsius:22.71
angular velocity message - w:(3.173828125, -10.1318359375, 15.68603515625) temp_celsius:22.71
angle message - roll:12.7 pitch:-18.1 yaw:-87.4 version:18128
magnetic message - vec:(-5516, 263, -793) temp_celsius:0.0
quaternion message - q:0.721832275390625 -0.02215576171875 -0.19525146484375 -0.663482666015625
acceleration message - vec:(2.7418945312500003, 2.4787109375000003, 9.11572265625) temp_celsius:22.71
angular velocity message - w:(24.71923828125, 7.2021484375, 23.92578125) temp_celsius:22.71
angle message - roll:13.7 pitch:-18.5 yaw:-86.3 version:18128
magnetic message - vec:(-5498, 246, -811) temp_celsius:0.0
quaternion message - q:0.7283935546875 -0.015625 -0.203521728515625 -0.653961181640625
acceleration message - vec:(3.7419921875, 2.469140625, 9.49375) temp_celsius:22.71
angular velocity message - w:(40.1611328125, -113.037109375, 37.41455078125) temp_celsius:22.71
angle message - roll:15.4 pitch:-21.9 yaw:-84.3 version:18128
magnetic message - vec:(-5551, 219, -754) temp_celsius:0.0
quaternion message - q:0.73876953125 -0.02154541015625 -0.234161376953125 -0.631500244140625
acceleration message - vec:(5.086621093750001, 2.80888671875, 8.0869140625) temp_celsius:22.71
angular velocity message - w:(11.41357421875, -67.19970703125, 16.41845703125) temp_celsius:22.71
angle message - roll:19.2 pitch:-32.1 yaw:-85.7 version:18128
magnetic message - vec:(-5866, 120, -355) temp_celsius:0.0
quaternion message - q:0.72637939453125 -0.061431884765625 -0.314971923828125 -0.607696533203125
acceleration message - vec:(6.5365234375000005, 2.8902343750000004, 6.474316406250001) temp_celsius:22.71
angular velocity message - w:(8.85009765625, -96.74072265625, 3.96728515625) temp_celsius:22.71
angle message - roll:22.1 pitch:-41.4 yaw:-88.8 version:18128
magnetic message - vec:(-6128, 66, 104) temp_celsius:0.0
quaternion message - q:0.704559326171875 -0.107757568359375 -0.378997802734375 -0.590087890625
acceleration message - vec:(7.675390625, 2.4117187500000004, 4.990917968750001) temp_celsius:22.71
angular velocity message - w:(-24.169921875, -150.57373046875, 25.87890625) temp_celsius:22.71
angle message - roll:24.6 pitch:-52.7 yaw:-93.9 version:18128
magnetic message - vec:(-6328, 61, 722) temp_celsius:0.0
quaternion message - q:0.668304443359375 -0.180389404296875 -0.4407958984375 -0.571319580078125
acceleration message - vec:(8.766406250000001, 2.0719726562500003, 2.37822265625) temp_celsius:22.71
angular velocity message - w:(-16.9677734375, -170.5322265625, 11.53564453125) temp_celsius:22.71
angle message - roll:32.4 pitch:-67.5 yaw:-105.7 version:18128
magnetic message - vec:(-6423, 113, 1577) temp_celsius:0.0
quaternion message - q:0.608489990234375 -0.27935791015625 -0.51226806640625 -0.537750244140625
acceleration message - vec:(9.61337890625, 1.990625, 0.47373046875) temp_celsius:22.71
angular velocity message - w:(15.44189453125, -120.17822265625, -16.54052734375) temp_celsius:22.71
